url,page_type,section,status,public,indexable,notes
https://academy.techpresso.co/,homepage,root,200,yes,yes,landing
https://academy.techpresso.co/courses,hub,courses,200,yes,yes,tutorial listing
https://academy.techpresso.co/tools,hub,tools,200,yes,yes,tool directory
https://academy.techpresso.co/free-tools,hub,free-tools,200,yes,yes,free interactive tools
https://academy.techpresso.co/learn,learning_paths,learn,200,yes,yes,single hub route; paths likely client/gated
https://academy.techpresso.co/blog,hub,blog,200,yes,yes,blog listing
https://academy.techpresso.co/prompts,hub,prompts,200,yes,yes,prompt listing
https://academy.techpresso.co/community,hub,community,200,yes,yes,user workflow feed
https://academy.techpresso.co/compare,hub,compare,200,yes,yes,course-platform compare hub
https://academy.techpresso.co/compare/the-rundown-ai,course_compare,compare,200,yes,yes,vs competitor platform; Product+FAQ
https://academy.techpresso.co/compare/learn-prompting,course_compare,compare,200,yes,yes,vs competitor platform; Product+FAQ
https://academy.techpresso.co/compare/openai-academy,course_compare,compare,200,yes,yes,vs competitor platform; Product+FAQ
https://academy.techpresso.co/compare/anthropic-academy,course_compare,compare,200,yes,yes,vs competitor platform; Product+FAQ
https://academy.techpresso.co/compare/deeplearning-ai,course_compare,compare,200,yes,yes,vs competitor platform; Product+FAQ
https://academy.techpresso.co/compare/udemy-ai-courses,course_compare,compare,200,yes,yes,vs competitor platform; Product+FAQ
https://academy.techpresso.co/compare/coursera-ai,course_compare,compare,200,yes,yes,vs competitor platform; Product+FAQ
https://academy.techpresso.co/compare/masteringai,course_compare,compare,200,yes,yes,vs competitor platform; Product+FAQ
https://academy.techpresso.co/compare-tools,hub,compare-tools,200,yes,yes,tool-vs-tool hub
https://academy.techpresso.co/compare-tools/chatgpt-vs-grok,tool_compare,compare-tools,200,yes,yes,tool vs tool; Review+Rating+SoftwareApplication
https://academy.techpresso.co/compare-tools/chatgpt-vs-gemini,tool_compare,compare-tools,200,yes,yes,tool vs tool; Review+Rating+SoftwareApplication
https://academy.techpresso.co/compare-tools/chatgpt-vs-claude,tool_compare,compare-tools,200,yes,yes,tool vs tool; Review+Rating+SoftwareApplication
https://academy.techpresso.co/compare-tools/chatgpt-vs-deepseek,tool_compare,compare-tools,200,yes,yes,tool vs tool; Review+Rating+SoftwareApplication
https://academy.techpresso.co/compare-tools/claude-code-vs-cursor,tool_compare,compare-tools,200,yes,yes,tool vs tool; Review+Rating+SoftwareApplication
https://academy.techpresso.co/compare-tools/character-ai-alternative,tool_compare,compare-tools,200,yes,yes,tool vs tool; Review+Rating+SoftwareApplication
https://academy.techpresso.co/compare-tools/chatgpt-plus-vs-pro,tool_compare,compare-tools,200,yes,yes,tool vs tool; Review+Rating+SoftwareApplication
